"STATE","AGE_GROUP","METRIC","TOTAL FINES"
"TAS","Under 17","unlicensed_driving",0
"TAS","Unknown","non_wearing_seatbelts",7
"TAS","Unknown","speed_fines",56
"TAS","Unknown","unlicensed_driving",1
"VIC","17-25","mobile_phone_use",9132
"VIC","17-25","non_wearing_seatbelts",5787
"VIC","17-25","speed_fines",169256
"VIC","17-25","unlicensed_driving",3684
"VIC","26-39","mobile_phone_use",30262
"VIC","26-39","non_wearing_seatbelts",19889
"VIC","26-39","speed_fines",538715
"VIC","26-39","unlicensed_driving",7775
"VIC","40-64","mobile_phone_use",31291
"VIC","40-64","non_wearing_seatbelts",24586
"VIC","40-64","speed_fines",842915
"VIC","40-64","unlicensed_driving",4360
"VIC","65 and over","mobile_phone_use",4540
"VIC","65 and over","non_wearing_seatbelts",7118
"VIC","65 and over","speed_fines",253612
"VIC","65 and over","unlicensed_driving",416
"VIC","Under 17","mobile_phone_use",13
"VIC","Under 17","non_wearing_seatbelts",22
"VIC","Under 17","speed_fines",46
"VIC","Under 17","unlicensed_driving",116
"VIC","Unknown","mobile_phone_use",29383
"VIC","Unknown","non_wearing_seatbelts",26202
"VIC","Unknown","speed_fines",271554
"VIC","Unknown","unlicensed_driving",24
"WA","17-25","mobile_phone_use",1510
"WA","17-25","non_wearing_seatbelts",909
"WA","17-25","speed_fines",153501
"WA","17-25","unlicensed_driving",895
"WA","26-39","mobile_phone_use",3167
"WA","26-39","non_wearing_seatbelts",1517
"WA","26-39","speed_fines",390677
"WA","26-39","unlicensed_driving",1741
"WA","40-64","mobile_phone_use",2365
"WA","40-64","non_wearing_seatbelts",1071
"WA","40-64","speed_fines",588767
"WA","40-64","unlicensed_driving",1238
"WA","65 and over","mobile_phone_use",280
"WA","65 and over","non_wearing_seatbelts",215
"WA","65 and over","speed_fines",145816
"WA","65 and over","unlicensed_driving",155
"WA","Under 17","mobile_phone_use",1
"WA","Under 17","non_wearing_seatbelts",2
"WA","Under 17","speed_fines",1187
"WA","Under 17","unlicensed_driving",0
"WA","Unknown","non_wearing_seatbelts",1
"WA","Unknown","speed_fines",372
"WA","Unknown","unlicensed_driving",0
