"STATE","LOCATION","AGE_GROUP","METRIC","TOTAL FINES"
"NSW","Remote Australia","26-39","unlicensed_driving",51
"NSW","Remote Australia","40-64","mobile_phone_use",7
"NSW","Remote Australia","40-64","non_wearing_seatbelts",87
"NSW","Remote Australia","40-64","speed_fines",1445
"NSW","Remote Australia","40-64","unlicensed_driving",32
"NSW","Remote Australia","65 and over","mobile_phone_use",3
"NSW","Remote Australia","65 and over","non_wearing_seatbelts",18
"NSW","Remote Australia","65 and over","speed_fines",404
"NSW","Remote Australia","65 and over","unlicensed_driving",4
"NSW","Remote Australia","Under 17","speed_fines",3
"NSW","Remote Australia","Under 17","unlicensed_driving",4
"NSW","Unknown","17-25","mobile_phone_use",161
"NSW","Unknown","17-25","non_wearing_seatbelts",120
"NSW","Unknown","17-25","speed_fines",1383
"NSW","Unknown","17-25","unlicensed_driving",90
"NSW","Unknown","26-39","mobile_phone_use",176
"NSW","Unknown","26-39","non_wearing_seatbelts",208
"NSW","Unknown","26-39","speed_fines",1765
"NSW","Unknown","26-39","unlicensed_driving",164
"NSW","Unknown","40-64","mobile_phone_use",99
"NSW","Unknown","40-64","non_wearing_seatbelts",152
"NSW","Unknown","40-64","speed_fines",1748
"NSW","Unknown","40-64","unlicensed_driving",81
"NSW","Unknown","65 and over","mobile_phone_use",9
"NSW","Unknown","65 and over","non_wearing_seatbelts",28
"NSW","Unknown","65 and over","speed_fines",353
"NSW","Unknown","65 and over","unlicensed_driving",8
"NSW","Unknown","Under 17","speed_fines",6
"NSW","Unknown","Under 17","unlicensed_driving",5
"NSW","Unknown","Unknown","mobile_phone_use",350029
"NSW","Unknown","Unknown","non_wearing_seatbelts",72088
"NSW","Unknown","Unknown","speed_fines",1424640
"NSW","Very Remote Australia","17-25","mobile_phone_use",2
"NSW","Very Remote Australia","17-25","non_wearing_seatbelts",17
"NSW","Very Remote Australia","17-25","speed_fines",77
"NSW","Very Remote Australia","17-25","unlicensed_driving",4
"NSW","Very Remote Australia","26-39","mobile_phone_use",3
"NSW","Very Remote Australia","26-39","non_wearing_seatbelts",33
"NSW","Very Remote Australia","26-39","speed_fines",150
"NSW","Very Remote Australia","26-39","unlicensed_driving",13
"NSW","Very Remote Australia","40-64","mobile_phone_use",3
"NSW","Very Remote Australia","40-64","non_wearing_seatbelts",13
"NSW","Very Remote Australia","40-64","speed_fines",162
"NSW","Very Remote Australia","40-64","unlicensed_driving",10
"NSW","Very Remote Australia","65 and over","non_wearing_seatbelts",1
"NSW","Very Remote Australia","65 and over","speed_fines",43
"NSW","Very Remote Australia","65 and over","unlicensed_driving",0
"NSW","Very Remote Australia","Under 17","speed_fines",1
"NSW","Very Remote Australia","Under 17","unlicensed_driving",0
"NT","Unknown","17-25","mobile_phone_use",86
"NT","Unknown","17-25","non_wearing_seatbelts",348
"NT","Unknown","17-25","speed_fines",11691
"NT","Unknown","17-25","unlicensed_driving",182
"NT","Unknown","26-39","mobile_phone_use",202
"NT","Unknown","26-39","non_wearing_seatbelts",772
"NT","Unknown","26-39","speed_fines",30187
"NT","Unknown","26-39","unlicensed_driving",399
"NT","Unknown","40-64","mobile_phone_use",142
"NT","Unknown","40-64","non_wearing_seatbelts",595
"NT","Unknown","40-64","speed_fines",37682
"NT","Unknown","40-64","unlicensed_driving",203
"NT","Unknown","65 and over","mobile_phone_use",18
"NT","Unknown","65 and over","non_wearing_seatbelts",56
"NT","Unknown","65 and over","speed_fines",8538
"NT","Unknown","65 and over","unlicensed_driving",11
"NT","Unknown","Under 17","mobile_phone_use",1
"NT","Unknown","Under 17","non_wearing_seatbelts",2
"NT","Unknown","Under 17","speed_fines",116
"NT","Unknown","Under 17","unlicensed_driving",2
"NT","Unknown","Unknown","speed_fines",3147
"QLD","Unknown","17-25","mobile_phone_use",10451
"QLD","Unknown","17-25","non_wearing_seatbelts",5870
"QLD","Unknown","17-25","speed_fines",121629
"QLD","Unknown","17-25","unlicensed_driving",6966
"QLD","Unknown","26-39","mobile_phone_use",29198
"QLD","Unknown","26-39","non_wearing_seatbelts",14890
"QLD","Unknown","26-39","speed_fines",237465
"QLD","Unknown","26-39","unlicensed_driving",10435
"QLD","Unknown","40-64","mobile_phone_use",29490
"QLD","Unknown","40-64","non_wearing_seatbelts",14567
"QLD","Unknown","40-64","speed_fines",330434
"QLD","Unknown","40-64","unlicensed_driving",6719
"QLD","Unknown","65 and over","mobile_phone_use",3789
"QLD","Unknown","65 and over","non_wearing_seatbelts",3209
"QLD","Unknown","65 and over","speed_fines",84968
"QLD","Unknown","65 and over","unlicensed_driving",428
"QLD","Unknown","Under 17","mobile_phone_use",2104
"QLD","Unknown","Under 17","non_wearing_seatbelts",812
"QLD","Unknown","Under 17","speed_fines",18147
"QLD","Unknown","Under 17","unlicensed_driving",583
"QLD","Unknown","Unknown","mobile_phone_use",80594
"QLD","Unknown","Unknown","non_wearing_seatbelts",37712
"QLD","Unknown","Unknown","speed_fines",862866
"QLD","Unknown","Unknown","unlicensed_driving",27705
"SA","Inner Regional Australia","17-25","mobile_phone_use",34
"SA","Inner Regional Australia","17-25","non_wearing_seatbelts",51
"SA","Inner Regional Australia","17-25","speed_fines",4247
"SA","Inner Regional Australia","26-39","mobile_phone_use",74
"SA","Inner Regional Australia","26-39","non_wearing_seatbelts",84
"SA","Inner Regional Australia","26-39","speed_fines",9688
"SA","Inner Regional Australia","40-64","mobile_phone_use",67
"SA","Inner Regional Australia","40-64","non_wearing_seatbelts",133
"SA","Inner Regional Australia","40-64","speed_fines",15045
"SA","Inner Regional Australia","65 and over","mobile_phone_use",12
"SA","Inner Regional Australia","65 and over","non_wearing_seatbelts",74
"SA","Inner Regional Australia","65 and over","speed_fines",5984
"SA","Inner Regional Australia","65 and over","unlicensed_driving",22
"SA","Inner Regional Australia","Under 17","mobile_phone_use",1
"SA","Inner Regional Australia","Under 17","non_wearing_seatbelts",2
"SA","Inner Regional Australia","Under 17","speed_fines",5
"SA","Inner Regional Australia","Unknown","speed_fines",619
"SA","Inner Regional Australia","Unknown","unlicensed_driving",618
"SA","Major Cities of Australia","17-25","mobile_phone_use",1024
"SA","Major Cities of Australia","17-25","non_wearing_seatbelts",235
"SA","Major Cities of Australia","17-25","speed_fines",14487
"SA","Major Cities of Australia","26-39","mobile_phone_use",1575
"SA","Major Cities of Australia","26-39","non_wearing_seatbelts",416
"SA","Major Cities of Australia","26-39","speed_fines",32223
"SA","Major Cities of Australia","40-64","mobile_phone_use",1280
"SA","Major Cities of Australia","40-64","non_wearing_seatbelts",510
"SA","Major Cities of Australia","40-64","speed_fines",52721
"SA","Major Cities of Australia","65 and over","mobile_phone_use",171
"SA","Major Cities of Australia","65 and over","non_wearing_seatbelts",169
"SA","Major Cities of Australia","65 and over","speed_fines",17503
"SA","Major Cities of Australia","65 and over","unlicensed_driving",123
"SA","Major Cities of Australia","Under 17","mobile_phone_use",1
"SA","Major Cities of Australia","Under 17","non_wearing_seatbelts",11
"SA","Major Cities of Australia","Under 17","speed_fines",19
"SA","Major Cities of Australia","Unknown","mobile_phone_use",4
"SA","Major Cities of Australia","Unknown","speed_fines",3117
"SA","Major Cities of Australia","Unknown","unlicensed_driving",4508
"SA","Outer Regional Australia","17-25","mobile_phone_use",49
"SA","Outer Regional Australia","17-25","non_wearing_seatbelts",106
"SA","Outer Regional Australia","17-25","speed_fines",3034
"SA","Outer Regional Australia","26-39","mobile_phone_use",79
"SA","Outer Regional Australia","26-39","non_wearing_seatbelts",157
"SA","Outer Regional Australia","26-39","speed_fines",6427
"SA","Outer Regional Australia","40-64","mobile_phone_use",86
"SA","Outer Regional Australia","40-64","non_wearing_seatbelts",162
"SA","Outer Regional Australia","40-64","speed_fines",9163
"SA","Outer Regional Australia","65 and over","mobile_phone_use",8
"SA","Outer Regional Australia","65 and over","non_wearing_seatbelts",92
"SA","Outer Regional Australia","65 and over","speed_fines",3163
"SA","Outer Regional Australia","65 and over","unlicensed_driving",55
"SA","Outer Regional Australia","Under 17","non_wearing_seatbelts",2
"SA","Outer Regional Australia","Under 17","speed_fines",11
"SA","Outer Regional Australia","Unknown","speed_fines",171
"SA","Outer Regional Australia","Unknown","unlicensed_driving",829
"SA","Remote Australia","17-25","mobile_phone_use",7
"SA","Remote Australia","17-25","non_wearing_seatbelts",17
"SA","Remote Australia","17-25","speed_fines",510
"SA","Remote Australia","26-39","mobile_phone_use",16
"SA","Remote Australia","26-39","non_wearing_seatbelts",31
"SA","Remote Australia","26-39","speed_fines",1128
"SA","Remote Australia","40-64","mobile_phone_use",16
"SA","Remote Australia","40-64","non_wearing_seatbelts",35
"SA","Remote Australia","40-64","speed_fines",1443
"SA","Remote Australia","65 and over","mobile_phone_use",3
"SA","Remote Australia","65 and over","non_wearing_seatbelts",19
"SA","Remote Australia","65 and over","speed_fines",407
"SA","Remote Australia","65 and over","unlicensed_driving",10
"SA","Remote Australia","Under 17","speed_fines",2
"SA","Remote Australia","Unknown","speed_fines",15
"SA","Remote Australia","Unknown","unlicensed_driving",170
"SA","Unknown","17-25","mobile_phone_use",1406
"SA","Unknown","17-25","non_wearing_seatbelts",493
"SA","Unknown","17-25","speed_fines",24634
"SA","Unknown","17-25","unlicensed_driving",1084
"SA","Unknown","26-39","mobile_phone_use",2298
"SA","Unknown","26-39","non_wearing_seatbelts",946
"SA","Unknown","26-39","speed_fines",56830
"SA","Unknown","26-39","unlicensed_driving",3086
"SA","Unknown","40-64","mobile_phone_use",1830
"SA","Unknown","40-64","non_wearing_seatbelts",1060
"SA","Unknown","40-64","speed_fines",90662
"SA","Unknown","40-64","unlicensed_driving",2643
"SA","Unknown","65 and over","mobile_phone_use",305
"SA","Unknown","65 and over","non_wearing_seatbelts",418
"SA","Unknown","65 and over","speed_fines",28586
"SA","Unknown","65 and over","unlicensed_driving",249
"SA","Unknown","Under 17","mobile_phone_use",3
"SA","Unknown","Under 17","non_wearing_seatbelts",11
"SA","Unknown","Under 17","speed_fines",21
"SA","Unknown","Under 17","unlicensed_driving",3
"SA","Unknown","Unknown","mobile_phone_use",0
"SA","Unknown","Unknown","non_wearing_seatbelts",0
"SA","Unknown","Unknown","speed_fines",4451
"SA","Unknown","Unknown","unlicensed_driving",156
"SA","Very Remote Australia","17-25","mobile_phone_use",6
"SA","Very Remote Australia","17-25","non_wearing_seatbelts",22
"SA","Very Remote Australia","17-25","speed_fines",282
"SA","Very Remote Australia","26-39","mobile_phone_use",8
"SA","Very Remote Australia","26-39","non_wearing_seatbelts",72
"SA","Very Remote Australia","26-39","speed_fines",642
"SA","Very Remote Australia","40-64","mobile_phone_use",9
"SA","Very Remote Australia","40-64","non_wearing_seatbelts",62
"SA","Very Remote Australia","40-64","speed_fines",762
"SA","Very Remote Australia","65 and over","mobile_phone_use",2
"SA","Very Remote Australia","65 and over","non_wearing_seatbelts",16
"SA","Very Remote Australia","65 and over","speed_fines",178
"SA","Very Remote Australia","65 and over","unlicensed_driving",4
"SA","Very Remote Australia","Under 17","speed_fines",0
"SA","Very Remote Australia","Unknown","speed_fines",3
"SA","Very Remote Australia","Unknown","unlicensed_driving",117
"TAS","Unknown","17-25","mobile_phone_use",933
"TAS","Unknown","17-25","non_wearing_seatbelts",855
"TAS","Unknown","17-25","speed_fines",19804
"TAS","Unknown","17-25","unlicensed_driving",79
"TAS","Unknown","26-39","mobile_phone_use",2137
"TAS","Unknown","26-39","non_wearing_seatbelts",2033
"TAS","Unknown","26-39","speed_fines",42901
"TAS","Unknown","26-39","unlicensed_driving",218
"TAS","Unknown","40-64","mobile_phone_use",1862
"TAS","Unknown","40-64","non_wearing_seatbelts",2236
"TAS","Unknown","40-64","speed_fines",56810
"TAS","Unknown","40-64","unlicensed_driving",179
"TAS","Unknown","65 and over","mobile_phone_use",311
"TAS","Unknown","65 and over","non_wearing_seatbelts",1042
"TAS","Unknown","65 and over","speed_fines",20436
"TAS","Unknown","65 and over","unlicensed_driving",10
"TAS","Unknown","Under 17","mobile_phone_use",0
"TAS","Unknown","Under 17","non_wearing_seatbelts",2
"TAS","Unknown","Under 17","speed_fines",26
"TAS","Unknown","Under 17","unlicensed_driving",0
"TAS","Unknown","Unknown","non_wearing_seatbelts",7
"TAS","Unknown","Unknown","speed_fines",56
"TAS","Unknown","Unknown","unlicensed_driving",1
"VIC","Inner Regional Australia","17-25","mobile_phone_use",908
"VIC","Inner Regional Australia","17-25","non_wearing_seatbelts",1003
"VIC","Inner Regional Australia","17-25","speed_fines",24769
"VIC","Inner Regional Australia","17-25","unlicensed_driving",378
"VIC","Inner Regional Australia","26-39","mobile_phone_use",2915
"VIC","Inner Regional Australia","26-39","non_wearing_seatbelts",2664
"VIC","Inner Regional Australia","26-39","speed_fines",74305
"VIC","Inner Regional Australia","26-39","unlicensed_driving",1088
"VIC","Inner Regional Australia","40-64","mobile_phone_use",3476
"VIC","Inner Regional Australia","40-64","non_wearing_seatbelts",3568
"VIC","Inner Regional Australia","40-64","speed_fines",115099
"VIC","Inner Regional Australia","40-64","unlicensed_driving",761
"VIC","Inner Regional Australia","65 and over","mobile_phone_use",577
"VIC","Inner Regional Australia","65 and over","non_wearing_seatbelts",1394
"VIC","Inner Regional Australia","65 and over","speed_fines",44339
"VIC","Inner Regional Australia","65 and over","unlicensed_driving",67
"VIC","Inner Regional Australia","Under 17","mobile_phone_use",2
"VIC","Inner Regional Australia","Under 17","non_wearing_seatbelts",4
"VIC","Inner Regional Australia","Under 17","speed_fines",8
"VIC","Inner Regional Australia","Under 17","unlicensed_driving",20
"VIC","Inner Regional Australia","Unknown","mobile_phone_use",2871
"VIC","Inner Regional Australia","Unknown","non_wearing_seatbelts",5824
"VIC","Inner Regional Australia","Unknown","speed_fines",35825
"VIC","Inner Regional Australia","Unknown","unlicensed_driving",5
"VIC","Major Cities of Australia","17-25","mobile_phone_use",5760
"VIC","Major Cities of Australia","17-25","non_wearing_seatbelts",3846
"VIC","Major Cities of Australia","17-25","speed_fines",115102
"VIC","Major Cities of Australia","17-25","unlicensed_driving",1438
"VIC","Major Cities of Australia","26-39","mobile_phone_use",21382
"VIC","Major Cities of Australia","26-39","non_wearing_seatbelts",15103
"VIC","Major Cities of Australia","26-39","speed_fines",401911
"VIC","Major Cities of Australia","26-39","unlicensed_driving",3061
"VIC","Major Cities of Australia","40-64","mobile_phone_use",23002
"VIC","Major Cities of Australia","40-64","non_wearing_seatbelts",19182
"VIC","Major Cities of Australia","40-64","speed_fines",648223
"VIC","Major Cities of Australia","40-64","unlicensed_driving",1539
"VIC","Major Cities of Australia","65 and over","mobile_phone_use",3376
"VIC","Major Cities of Australia","65 and over","non_wearing_seatbelts",5218
"VIC","Major Cities of Australia","65 and over","speed_fines",187424
"VIC","Major Cities of Australia","65 and over","unlicensed_driving",134
"VIC","Major Cities of Australia","Under 17","mobile_phone_use",4
"VIC","Major Cities of Australia","Under 17","non_wearing_seatbelts",6
"VIC","Major Cities of Australia","Under 17","speed_fines",7
"VIC","Major Cities of Australia","Under 17","unlicensed_driving",24
"VIC","Major Cities of Australia","Unknown","mobile_phone_use",25496
"VIC","Major Cities of Australia","Unknown","non_wearing_seatbelts",19477
"VIC","Major Cities of Australia","Unknown","speed_fines",226548
"VIC","Major Cities of Australia","Unknown","unlicensed_driving",14
"VIC","Outer Regional Australia","17-25","mobile_phone_use",108
"VIC","Outer Regional Australia","17-25","non_wearing_seatbelts",154
"VIC","Outer Regional Australia","17-25","speed_fines",3732
"VIC","Outer Regional Australia","17-25","unlicensed_driving",110
"VIC","Outer Regional Australia","26-39","mobile_phone_use",276
"VIC","Outer Regional Australia","26-39","non_wearing_seatbelts",361
"VIC","Outer Regional Australia","26-39","speed_fines",10702
"VIC","Outer Regional Australia","26-39","unlicensed_driving",316
"VIC","Outer Regional Australia","40-64","mobile_phone_use",240
"VIC","Outer Regional Australia","40-64","non_wearing_seatbelts",414
"VIC","Outer Regional Australia","40-64","speed_fines",16132
"VIC","Outer Regional Australia","40-64","unlicensed_driving",204
"VIC","Outer Regional Australia","65 and over","mobile_phone_use",44
"VIC","Outer Regional Australia","65 and over","non_wearing_seatbelts",189
"VIC","Outer Regional Australia","65 and over","speed_fines",6618
"VIC","Outer Regional Australia","65 and over","unlicensed_driving",22
"VIC","Outer Regional Australia","Under 17","mobile_phone_use",0
"VIC","Outer Regional Australia","Under 17","non_wearing_seatbelts",3
"VIC","Outer Regional Australia","Under 17","speed_fines",2
"VIC","Outer Regional Australia","Under 17","unlicensed_driving",10
"VIC","Outer Regional Australia","Unknown","mobile_phone_use",124
"VIC","Outer Regional Australia","Unknown","non_wearing_seatbelts",196
"VIC","Outer Regional Australia","Unknown","speed_fines",4350
"VIC","Outer Regional Australia","Unknown","unlicensed_driving",2
"VIC","Remote Australia","17-25","mobile_phone_use",0
"VIC","Remote Australia","17-25","non_wearing_seatbelts",1
"VIC","Remote Australia","17-25","speed_fines",41
"VIC","Remote Australia","26-39","mobile_phone_use",0
"VIC","Remote Australia","26-39","non_wearing_seatbelts",3
"VIC","Remote Australia","26-39","speed_fines",103
"VIC","Remote Australia","26-39","unlicensed_driving",3
"VIC","Remote Australia","40-64","mobile_phone_use",0
"VIC","Remote Australia","40-64","non_wearing_seatbelts",3
"VIC","Remote Australia","40-64","speed_fines",157
"VIC","Remote Australia","40-64","unlicensed_driving",3
"VIC","Remote Australia","65 and over","mobile_phone_use",0
"VIC","Remote Australia","65 and over","non_wearing_seatbelts",3
"VIC","Remote Australia","65 and over","speed_fines",74
"VIC","Remote Australia","Under 17","mobile_phone_use",0
"VIC","Remote Australia","Under 17","non_wearing_seatbelts",0
"VIC","Remote Australia","Under 17","speed_fines",0
"VIC","Remote Australia","Unknown","mobile_phone_use",0
"VIC","Remote Australia","Unknown","non_wearing_seatbelts",0
"VIC","Remote Australia","Unknown","speed_fines",2
"VIC","Unknown","17-25","mobile_phone_use",2356
"VIC","Unknown","17-25","non_wearing_seatbelts",783
"VIC","Unknown","17-25","speed_fines",25612
"VIC","Unknown","17-25","unlicensed_driving",1758
"VIC","Unknown","26-39","mobile_phone_use",5689
"VIC","Unknown","26-39","non_wearing_seatbelts",1758
"VIC","Unknown","26-39","speed_fines",51694
"VIC","Unknown","26-39","unlicensed_driving",3307
"VIC","Unknown","40-64","mobile_phone_use",4573
"VIC","Unknown","40-64","non_wearing_seatbelts",1419
"VIC","Unknown","40-64","speed_fines",63304
