"STATE","TOTAL FINES","TOTAL CHARGES","TOTAL ARRESTS","COUNT"
"ACT",0,1386,123,19665
"NSW",7729,19237,0,318764
"NT",231,2510,938,154964
"QLD",0,0,0,363848
"SA",2723,5795,500,119075
"TAS",0,0,0,35635
"VIC",0,0,0,183359
"WA",4070,14497,587,162515
