"YEAR","STATE","METRIC","TOTAL FINES","TOTAL ARRESTS","TOTAL CHARGES"
2015,"WA","mobile_phone_use",16666,0,0
2015,"WA","speed_fines",752276,0,0
2016,"ACT","mobile_phone_use",1120,0,0
2016,"ACT","speed_fines",55750,0,0
2016,"NSW","mobile_phone_use",38918,0,0
2016,"NSW","speed_fines",494676,0,0
2016,"NT","mobile_phone_use",535,0,0
2016,"NT","speed_fines",22239,0,0
2016,"QLD","mobile_phone_use",17213,0,0
2016,"QLD","speed_fines",659305,0,0
2016,"SA","mobile_phone_use",11153,0,0
2016,"SA","speed_fines",182856,0,0
2016,"TAS","mobile_phone_use",3191,0,0
2016,"TAS","speed_fines",15977,0,0
2016,"VIC","mobile_phone_use",27925,0,0
2016,"VIC","speed_fines",1266642,0,0
2016,"WA","mobile_phone_use",14926,0,0
2016,"WA","speed_fines",567954,0,0
2017,"ACT","mobile_phone_use",1299,0,0
2017,"ACT","speed_fines",52913,0,0
2017,"NSW","mobile_phone_use",41020,0,0
2017,"NSW","non_wearing_seatbelts",22954,0,0
2017,"NSW","speed_fines",731953,0,0
2017,"NT","mobile_phone_use",546,0,0
2017,"NT","speed_fines",22556,0,0
2017,"QLD","mobile_phone_use",15043,0,0
2017,"QLD","speed_fines",733717,0,0
2017,"SA","mobile_phone_use",11252,0,0
2017,"SA","speed_fines",162804,0,0
2017,"TAS","mobile_phone_use",2738,0,0
2017,"TAS","speed_fines",13095,0,0
2017,"VIC","mobile_phone_use",29293,0,0
2017,"VIC","speed_fines",1220180,0,0
2017,"WA","mobile_phone_use",16718,0,0
2017,"WA","non_wearing_seatbelts",7309,0,0
2017,"WA","speed_fines",754183,0,0
2018,"ACT","mobile_phone_use",1399,0,0
2018,"ACT","non_wearing_seatbelts",197,0,0
2018,"ACT","speed_fines",66449,0,0
2018,"NSW","mobile_phone_use",37653,0,0
2018,"NSW","non_wearing_seatbelts",21553,0,0
2018,"NSW","speed_fines",681389,0,0
2018,"NT","mobile_phone_use",861,0,0
2018,"NT","non_wearing_seatbelts",2558,0,0
2018,"NT","speed_fines",37452,0,0
2018,"QLD","mobile_phone_use",12828,0,0
2018,"QLD","non_wearing_seatbelts",8789,0,0
2018,"QLD","speed_fines",1021423,0,0
2018,"SA","mobile_phone_use",8471,0,0
2018,"SA","non_wearing_seatbelts",4909,0,0
2018,"SA","speed_fines",174731,0,0
2018,"TAS","mobile_phone_use",2614,0,0
2018,"TAS","speed_fines",8609,0,0
2018,"VIC","mobile_phone_use",32458,0,0
2018,"VIC","non_wearing_seatbelts",13595,0,0
2018,"VIC","speed_fines",1600565,0,0
2018,"WA","mobile_phone_use",17697,0,0
2018,"WA","non_wearing_seatbelts",5953,0,0
2018,"WA","speed_fines",689198,0,0
2019,"ACT","mobile_phone_use",1098,0,0
2019,"ACT","non_wearing_seatbelts",174,0,0
2019,"ACT","speed_fines",59330,0,0
2019,"NSW","mobile_phone_use",25463,0,0
2019,"NSW","non_wearing_seatbelts",19355,0,0
2019,"NSW","speed_fines",658793,0,0
2019,"NT","mobile_phone_use",760,0,0
2019,"NT","non_wearing_seatbelts",3521,0,0
2019,"NT","speed_fines",39500,0,0
2019,"QLD","mobile_phone_use",11580,0,0
2019,"QLD","non_wearing_seatbelts",9009,0,0
2019,"QLD","speed_fines",1041780,0,0
2019,"SA","mobile_phone_use",7567,0,0
2019,"SA","non_wearing_seatbelts",4386,0,0
2019,"SA","speed_fines",202914,0,0
2019,"TAS","mobile_phone_use",2355,0,0
2019,"TAS","speed_fines",6738,0,0
2019,"VIC","mobile_phone_use",36694,0,0
2019,"VIC","non_wearing_seatbelts",11835,0,0
2019,"VIC","speed_fines",1004679,0,0
2019,"WA","mobile_phone_use",11850,0,0
2019,"WA","non_wearing_seatbelts",4469,0,0
2019,"WA","speed_fines",682996,0,0
2020,"ACT","mobile_phone_use",812,0,0
2020,"ACT","non_wearing_seatbelts",143,0,0
2020,"ACT","speed_fines",57612,0,0
2020,"NSW","mobile_phone_use",151725,0,0
2020,"NSW","non_wearing_seatbelts",11720,0,0
2020,"NSW","speed_fines",915316,0,0
2020,"NT","mobile_phone_use",380,0,0
2020,"NT","non_wearing_seatbelts",2111,0,0
2020,"NT","speed_fines",40921,0,0
2020,"QLD","mobile_phone_use",4823,0,0
2020,"QLD","non_wearing_seatbelts",6108,0,0
2020,"QLD","speed_fines",910858,0,0
2020,"SA","mobile_phone_use",6325,0,0
2020,"SA","non_wearing_seatbelts",3935,0,0
2020,"SA","speed_fines",175237,0,0
2020,"TAS","mobile_phone_use",1966,0,0
2020,"TAS","non_wearing_seatbelts",1332,0,0
2020,"TAS","speed_fines",40751,0,0
2020,"VIC","mobile_phone_use",21231,0,0
2020,"VIC","non_wearing_seatbelts",7757,0,0
2020,"VIC","speed_fines",937192,0,0
2020,"WA","mobile_phone_use",7889,0,0
